Node_ID,Hop_Count,Transmission_Delay,Buffer_Occupancy,Channel_Utilization,Energy_Level,Link_Quality,Congestion_Status,Packet_Size,PDR,Traffic_Class,Routing_Algorithm,Latency_Category
1,7,11.630632349744761,68.88853020500906,33.15646990671938,0.5024272871663764,0.20408766115576027,Medium,64,0.7168740082945517,Normal,DSR,Medium Latency
2,4,33.627447905576545,87.33229158608077,85.50302016199352,0.7314863597031158,0.46904074751815394,Low,64,0.7242125362581957,Normal,DSR,High Latency
3,8,1.0835558339427713,63.629135397924806,20.707580921085523,0.9581180089194338,0.8009387215414303,Medium,64,0.9978312959538201,High-Priority,DSR,Low Latency
4,5,5.295018241030235,76.1121537043158,7.115828517343282,0.22044600424541894,0.18015864773261925,Medium,256,0.9350751684228651,High-Priority,OLSR,Low Latency
5,7,40.01581266012215,16.0071634954573,6.90075926128163,0.8861817721293451,0.10986311374078295,Low,128,0.9765962427895518,Normal,AODV,High Latency
6,3,9.009378636511247,46.15574744197899,94.07845205031079,0.9343041141674903,0.8836839676879897,High,128,0.758516416670909,Normal,OLSR,Low Latency
7,7,32.67203078180855,0.9331619827093296,50.69204379618346,0.9164205445320662,0.3429296627591959,Low,512,0.9881705608970306,High-Priority,DCPO-AdaBoost,Medium Latency
8,8,11.985320774231653,24.667886452162303,40.941207181701834,0.6354143568619098,0.683870124909032,Medium,256,0.7427963054419486,High-Priority,OLSR,Low Latency
9,5,5.062125498691323,72.64617151130048,81.08785810079185,0.6298206544347077,0.02534860426393848,Low,64,0.8527245485699413,High-Priority,AODV,Low Latency
10,4,12.234292330872758,99.18099513493634,83.5825927910516,0.4032106331838228,0.6900468884094496,Low,64,0.9489087053251192,Normal,AODV,Medium Latency
11,8,36.14111989959739,9.917809958721591,33.21910331156046,0.7523978823037879,0.3161013115469705,Medium,1024,0.8049410063534738,Normal,DCPO-AdaBoost,Medium Latency
12,8,42.79925375850366,40.14943158612883,69.36180574737952,0.5312940183509319,0.05574085358744174,Medium,1024,0.8274485599530701,High-Priority,DSR,High Latency
13,3,41.52797124189288,80.00709686991596,77.11228158518865,0.6774380712282945,0.609812761548117,Low,512,0.7384555330897293,Normal,AODV,High Latency
14,6,19.919458127960898,20.403563462889885,65.46506868659546,0.42845790384879545,0.24080381607317325,Medium,64,0.7368765639996918,Normal,AODV,Medium Latency
15,5,33.43744831487525,55.50849493022862,15.159507480009937,0.7314964640431391,0.38680724205188,Medium,512,0.8858704674335979,High-Priority,AODV,Medium Latency
16,2,10.328716341249466,73.30712960296748,87.5883083517057,0.8244715176045491,0.08058081228651359,Medium,256,0.902659710586017,Normal,DCPO-AdaBoost,Medium Latency
17,8,14.72807174002456,61.5985450260179,53.90945527360087,0.14643625660281612,0.14716325109494532,Medium,128,0.933199754224658,High-Priority,AODV,Medium Latency
18,6,44.827157344203876,18.802473461541613,28.24724263700037,0.832929715574228,0.29797723549584376,Medium,64,0.867004615804526,High-Priority,DSR,High Latency
19,2,0.7487959831857282,35.538456868573945,42.52281854376939,0.5402965317903072,0.08975950056015713,Medium,256,0.8937277876783918,Normal,DCPO-AdaBoost,Low Latency
20,5,4.366875689637957,78.37917844853972,3.757109039890738,0.8446659090902243,0.9108262646863152,High,64,0.704055181509916,Normal,DSR,Low Latency
21,1,10.473524131786762,55.42265141320166,12.786680122241755,0.4313017063410146,0.006047043183978418,Low,1024,0.7486512181411564,High-Priority,AODV,Low Latency
22,6,1.423956973303604,0.5229613542912737,76.55467505158609,0.37904048538303503,0.4838602188643114,Medium,512,0.9954744298050714,Normal,AODV,Low Latency
23,9,9.153628210980886,76.09907600280938,0.0011634755366141114,0.9150607325172224,0.12324745813255145,Low,1024,0.7227980518947495,High-Priority,DSR,Low Latency
24,1,29.19377389238764,3.531135494023907,41.65658284822922,0.2511692675484013,0.30767908947794853,High,128,0.9036364666780734,Normal,DCPO-AdaBoost,Medium Latency
25,3,21.129085074565648,74.57337827312321,52.251018108558846,0.8442123252861431,0.9260595598182655,Medium,1024,0.7528247899095148,Normal,DCPO-AdaBoost,Medium Latency
26,7,44.64431838274105,20.24805601652374,5.4634420000972295,0.4840205725094041,0.16169455327398685,Low,64,0.9150155757302926,Normal,DSR,High Latency
